team_name,player_name,player_role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,start,end,experience,cluster_id
South Africa,Kagiso Rabada,Bowler,97.0,40.0,18.0,344.0,31.0,15.63,412.0,83.49,0.0,0.0,2.0,26,10,2015,2023,8.0,0
South Africa,Tabraiz Shamsi,Bowler,48.0,11.0,7.0,22.0,9.0,5.5,50.0,44.0,0.0,0.0,3.0,1,0,2016,2023,7.0,0
South Africa,Rassie van der Dussen,Top order Batter,55.0,49.0,10.0,2094.0,134.0,53.69,2361.0,88.69,5.0,13.0,1.0,163,35,2019,2023,4.0,1
South Africa,Lizaad Williams,Bowler,6.3,5.04,0.0,17.56,6.52,3.5926,50.0,33.6684,0.0,0.0,0.0,0,0,2021,2023,2.0,0
Sri Lanka,Dasun Shanaka,Allrounder,69.0,61.0,5.0,1284.0,108.0,22.92,1388.0,92.5,2.0,4.0,6.0,103,42,2016,2023,7.0,1
Sri Lanka,Kusal Mendis,Wicketkeeper Batter,118.0,115.0,9.0,3483.0,122.0,32.85,4018.0,86.68,3.0,26.0,14.0,346,61,2016,2023,7.0,2
Sri Lanka,Kusal Perera,Wicketkeeper Batter,114.0,109.0,5.0,3182.0,135.0,30.59,3452.0,92.17,6.0,16.0,12.0,352,50,2013,2023,10.0,2
Sri Lanka,Pathum Nissanka,Top order Batter,46.0,46.0,4.0,1685.0,137.0,40.11,1995.0,84.46,3.0,13.0,3.0,212,9,2021,2023,2.0,1
Sri Lanka,Dimuth Karunaratne,Opening Batter,49.0,45.0,4.0,1316.0,103.0,32.09,1653.0,79.61,1.0,11.0,3.0,131,1,2011,2023,12.0,1
Sri Lanka,Sadeera Samarawickrama,Wicketkeeper Batter,29.0,26.0,3.0,946.0,108.0,41.13,998.0,94.78,1.0,7.0,3.0,96,6,2017,2023,6.0,1
Sri Lanka,Charith Asalanka,Batting Allrounder,47.0,41.0,5.0,1443.0,110.0,40.08,1626.0,88.74,1.0,10.0,2.0,116,28,2021,2023,2.0,1
Sri Lanka,Dhananjaya de Silva,Allrounder,88.0,80.0,10.0,1812.0,93.0,25.88,2313.0,78.33,0.0,10.0,4.0,180,15,2016,2023,7.0,1
Sri Lanka,Maheesh Theekshana,Bowler,32.0,17.0,6.0,149.0,29.0,13.54,252.0,59.12,0.0,0.0,4.0,8,2,2021,2023,2.0,0
Sri Lanka,Kasun Rajitha,Bowler,32.0,17.0,7.0,103.0,33.0,10.3,165.0,62.42,0.0,0.0,3.0,12,1,2018,2023,5.0,0
Sri Lanka,Lahiru Kumara,Bowler,28.0,16.0,6.0,55.0,10.0,5.5,122.0,45.08,0.0,0.0,1.0,7,1,2017,2023,6.0,0
